messageId,userId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,business_id,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,userAgentData.brands,userAgentData.mobile,userAgentData.platform,location,button_name,search_text,event_type
ajs-next-1755046626709-12ef1a51-0dbe-472b-8bd5-86fb20c8afae,,2025-08-13 00:57:06.709000+00:00,63f5e01f-a408-4870-94ba-56eefd1ed62b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400",true,,,,,,,,,,,,,,,,impression
ajs-next-1755046626298-d19e12ef-1a51-4dbe-972b-8bd586fb20c8,,2025-08-13 00:57:06.298000+00:00,63f5e01f-a408-4870-94ba-56eefd1ed62b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,index,index,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,page
ajs-next-1755046626973-1a510dbe-d72b-4bd5-86fb-20c8afaece86,,2025-08-13 00:57:06.973000+00:00,63f5e01f-a408-4870-94ba-56eefd1ed62b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400",true,,,,,,,,,,,,,,,,impression
ajs-next-1755049244417-d4cc2c57-170e-401f-86bf-5d5711d7287c,,2025-08-13 01:40:44.417000+00:00,ed8412ef-5288-4e41-ab02-ec7bda674916,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200",true,,,,,,,,,,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",True,Android,,,,impression
ajs-next-1755049243881-8d9cd4cc-2c57-470e-901f-86bf5d5711d7,,2025-08-13 01:40:43.881000+00:00,ed8412ef-5288-4e41-ab02-ec7bda674916,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,index,index,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",True,Android,,,,page
ajs-next-1755102337839-7635a413-3673-429b-a09b-73af241ca9c8,1746827109704x963221719337950200,2025-08-13 16:25:37.839000+00:00,fe9ede5f-0b62-48f5-8471-7deb6bbb3f83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,true,,,,,,,,,,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,sidebar,,,impression
ajs-next-1755102338841-3673d29b-a09b-43af-a41c-a9c817e6c895,1746827109704x963221719337950200,2025-08-13 16:25:38.841000+00:00,fe9ede5f-0b62-48f5-8471-7deb6bbb3f83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,1753982403438x535213824960417500,true,,,,,,,,,,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,main_list,,,impression
ajs-next-1755102339850-73af241c-a9c8-47e6-8895-65dae882f2a9,1746827109704x963221719337950200,2025-08-13 16:25:39.850000+00:00,fe9ede5f-0b62-48f5-8471-7deb6bbb3f83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,"1753982403438x535213824960417500, 1744391553368x301043576290850300, 1753135741395x558904608479141570, 1744134674881x127285411168640110, 1746635677548x343522492232585660, 1746827109704x963221719337950200, 1750785338983x949958887494882000, 1750784029587x963255839088365200",false,,,,,,,,,,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,,,,impression
ajs-next-1755102337986-a4133673-d29b-409b-b3af-241ca9c817e6,1746827109704x963221719337950200,2025-08-13 16:25:37.986000+00:00,fe9ede5f-0b62-48f5-8471-7deb6bbb3f83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,true,,,,,,,,,,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,sidebar,,,impression
ajs-next-1755102339862-241ca9c8-17e6-4895-a5da-e882f2a9046c,1746827109704x963221719337950200,2025-08-13 16:25:39.862000+00:00,fe9ede5f-0b62-48f5-8471-7deb6bbb3f83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,"1753982403438x535213824960417500, 1744391553368x301043576290850300, 1753135741395x558904608479141570, 1744134674881x127285411168640110, 1746635677548x343522492232585660, 1746827109704x963221719337950200, 1750785338983x949958887494882000, 1750784029587x963255839088365200",false,,,,,,,,,,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,,,,impression
ajs-next-1755102338896-a09b73af-241c-49c8-97e6-c89565dae882,1746827109704x963221719337950200,2025-08-13 16:25:38.896000+00:00,fe9ede5f-0b62-48f5-8471-7deb6bbb3f83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,1753982403438x535213824960417500,true,,,,,,,,,,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,main_list,,,impression
ajs-next-1755102339870-a9c817e6-c895-45da-a882-f2a9046c3ad9,1746827109704x963221719337950200,2025-08-13 16:25:39.870000+00:00,fe9ede5f-0b62-48f5-8471-7deb6bbb3f83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,"1753982403438x535213824960417500, 1744391553368x301043576290850300, 1753135741395x558904608479141570, 1744134674881x127285411168640110, 1746635677548x343522492232585660, 1746827109704x963221719337950200, 1750785338983x949958887494882000, 1750784029587x963255839088365200",false,,,,,,,,,,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,,,,impression
ajs-next-1755102339891-17e6c895-65da-4882-b2a9-046c3ad96411,1746827109704x963221719337950200,2025-08-13 16:25:39.891000+00:00,fe9ede5f-0b62-48f5-8471-7deb6bbb3f83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,"1753982403438x535213824960417500, 1744391553368x301043576290850300, 1753135741395x558904608479141570, 1744134674881x127285411168640110, 1746635677548x343522492232585660, 1746827109704x963221719337950200, 1750785338983x949958887494882000, 1750784029587x963255839088365200",false,,,,,,,,,,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,,,,impression
ajs-next-1755102338857-d29ba09b-73af-441c-a9c8-17e6c89565da,1746827109704x963221719337950200,2025-08-13 16:25:38.857000+00:00,fe9ede5f-0b62-48f5-8471-7deb6bbb3f83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,1753982403438x535213824960417500,true,,,,,,,,,,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,main_list,,,impression
ajs-next-1755102336843-d29d7635-a413-4673-929b-a09b73af241c,1746827109704x963221719337950200,2025-08-13 16:25:36.843000+00:00,fe9ede5f-0b62-48f5-8471-7deb6bbb3f83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,search,search,"[{'brand': 'Not)A;Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '138'}, {'brand': 'Google Chrome', 'version': '138'}]",False,Windows,,,,page
ajs-next-1755117331550-9da76b5c-d3f3-40c3-8547-2ad9ce96413c,,2025-08-13 20:35:31.550000+00:00,6d759da7-6b5c-43f3-b0c3-c5472ad9ce96,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,1748581534531x956271769254002200,,,,,,,,,,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",False,Windows,,visit_website,,button_click
ajs-next-1755117317000-566d759d-a76b-4cd3-b370-c3c5472ad9ce,,2025-08-13 20:35:17+00:00,6d759da7-6b5c-43f3-b0c3-c5472ad9ce96,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,1748581534531x956271769254002200,,business_profile,profile,/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,profile,business_profile,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",False,Windows,,,,page
ajs-next-1755117349321-6b5cd3f3-70c3-4547-aad9-ce96413c3869,,2025-08-13 20:35:49.321000+00:00,6d759da7-6b5c-43f3-b0c3-c5472ad9ce96,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,1748581534531x956271769254002200,,,,,,,,,,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",False,Windows,,visit_website,,button_click
ajs-next-1755125372716-e09fb842-260c-4d79-a464-3b2e1a8dd7c0,1753374338412x209529915103450200,2025-08-13 22:49:32.716000+00:00,e3fcc7a6-fe07-4a65-ae9c-289fe7b2496e,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/dashboard,,?view=billing,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=billing,1755125370755x291697753484101440,,dashboard,dashboard,/dashboard,,?view=billing,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=billing,dashboard,dashboard,,,,,,,page
